,Title,Wage min,Wage max,Currency,Link,Source
52,Дата-инженер / Data Engineer,100000,250000,руб.,https://nn.hh.ru/vacancy/72852491?from=vacancy_search_list&query=Data,hh
53,Data Science/Data Analyst,0,0,0,https://nn.hh.ru/vacancy/77148399?from=vacancy_search_list&query=Data,hh
54,Middle Data Scientist,0,0,0,https://nn.hh.ru/vacancy/72888902?from=vacancy_search_list&query=Data,hh
55,Data Scientist,0,0,0,https://nn.hh.ru/vacancy/75887064?from=vacancy_search_list&query=Data,hh
56,Аналитик данных/Data analyst,0,0,0,https://nn.hh.ru/vacancy/70985788?from=vacancy_search_list&query=Data,hh
57,Стажер Sberseasons осень 2022 Data Science Новосибирск,0,0,0,https://nn.hh.ru/vacancy/77053286?from=vacancy_search_list&query=Data,hh
58,Data Engineer (GoLang Developer),4000,0,EUR,https://nn.hh.ru/vacancy/77020277?from=vacancy_search_list&query=Data,hh
59,Junior Data Analyst,0,0,0,https://nn.hh.ru/vacancy/76902009?from=vacancy_search_list&query=Data,hh
60,Стажер в IT-рекрутмент,0,0,0,https://nn.hh.ru/vacancy/77133733?from=vacancy_search_list&query=Data,hh
61,Data Engineer,0,0,0,https://nn.hh.ru/vacancy/73888449?from=vacancy_search_list&query=Data,hh
62,Data scientist,0,0,0,https://nn.hh.ru/vacancy/77094397?from=vacancy_search_list&query=Data,hh
63,Data Engineer,4300,0,EUR,https://nn.hh.ru/vacancy/75753374?from=vacancy_search_list&query=Data,hh
64,Data Engineer,0,0,0,https://nn.hh.ru/vacancy/74923706?from=vacancy_search_list&query=Data,hh
65,Operations Analyst,0,0,0,https://nn.hh.ru/vacancy/77139274?from=vacancy_search_list&query=Data,hh
66,Data Engineer,0,0,0,https://nn.hh.ru/vacancy/76146269?from=vacancy_search_list&query=Data,hh
67,Middle Data Engineer / Инженер данных,180000,250000,руб.,https://nn.hh.ru/vacancy/77018834?from=vacancy_search_list&query=Data,hh
68,Аналитик Power BI (iGaming/Betting),0,0,0,https://nn.hh.ru/vacancy/77092567?from=vacancy_search_list&query=Data,hh
69,Data Engineer,0,0,0,https://nn.hh.ru/vacancy/69658696?from=vacancy_search_list&query=Data,hh
70,Data Scientist (Computer Vision),0,0,0,https://nn.hh.ru/vacancy/75656293?from=vacancy_search_list&query=Data,hh
71,Data Architecture Team Lead,6000,0,USD,https://nn.hh.ru/vacancy/76547209?from=vacancy_search_list&query=Data,hh
72,Руководитель практики по управлению данными,0,0,0,https://nn.hh.ru/vacancy/75966854?from=vacancy_search_list&query=Data,hh
73,Data Analyst,0,0,0,https://nn.hh.ru/vacancy/75749099?from=vacancy_search_list&query=Data,hh
74,Data Engineer (DWH),0,0,0,https://nn.hh.ru/vacancy/77122800?from=vacancy_search_list&query=Data,hh
75,Data Scientist senior,0,0,0,https://nn.hh.ru/vacancy/77022996?from=vacancy_search_list&query=Data,hh
76,Senior Product Data Analyst в Поиск и рекомендации (работа в РФ),0,0,0,https://nn.hh.ru/vacancy/76333960?from=vacancy_search_list&query=Data,hh
77,Product Owner (Data),0,0,0,https://nn.hh.ru/vacancy/76503466?from=vacancy_search_list&query=Data,hh
78,ESG/Sustainability Data Analyst (Senior),0,0,0,https://nn.hh.ru/vacancy/76401952?from=vacancy_search_list&query=Data,hh
79,Data Scientist,0,0,0,https://nn.hh.ru/vacancy/76709695?from=vacancy_search_list&query=Data,hh
80,Лидер команды Data-Аналитики,0,0,0,https://nn.hh.ru/vacancy/77005359?from=vacancy_search_list&query=Data,hh
81,Data инженер,0,0,0,https://nn.hh.ru/vacancy/76712805?from=vacancy_search_list&query=Data,hh
82,Data engineer,0,0,0,https://nn.hh.ru/vacancy/77145739?from=vacancy_search_list&query=Data,hh
83,Data аналитик/Аналитик BI,0,0,0,https://nn.hh.ru/vacancy/77223061?from=vacancy_search_list&query=Data,hh
84,Data Scientist,0,0,0,https://nn.hh.ru/vacancy/74047078?from=vacancy_search_list&query=Data,hh
85,Product Analyst,0,0,0,https://nn.hh.ru/vacancy/76434434?from=vacancy_search_list&query=Data,hh
86,Data Scientist,0,0,0,https://nn.hh.ru/vacancy/67054541?from=vacancy_search_list&query=Data,hh
87,Бизнес-аналитик (Big Data),0,0,0,https://nn.hh.ru/vacancy/74377863?from=vacancy_search_list&query=Data,hh
88,Analyst Lead (remote),2500,3500,USD,https://nn.hh.ru/vacancy/77213565?from=vacancy_search_list&query=Data,hh
89,Data архитектор,0,0,0,https://nn.hh.ru/vacancy/76130842?from=vacancy_search_list&query=Data,hh
90,Data scientist,0,0,0,https://nn.hh.ru/vacancy/76934468?from=vacancy_search_list&query=Data,hh
91,Лингвист-аналитик,95000,0,руб.,https://nn.hh.ru/vacancy/71260107?from=vacancy_search_list&query=Data,hh
92,Программист С++ (анализ текстов),160000,0,руб.,https://nn.hh.ru/vacancy/76092291?from=vacancy_search_list&query=Data,hh
93,Team lead data аналитик,0,0,0,https://nn.hh.ru/vacancy/72893267?from=vacancy_search_list&query=Data,hh
94,Data аналитик/Аналитик BI,0,0,0,https://nn.hh.ru/vacancy/77223062?from=vacancy_search_list&query=Data,hh
95,Аналитик (Data Analyst),10000000,0,сум,https://nn.hh.ru/vacancy/76894987?from=vacancy_search_list&query=Data,hh
96,Data Engineer (Комплаенс),0,0,0,https://nn.hh.ru/vacancy/77197696?from=vacancy_search_list&query=Data,hh
97,Data scientist,0,0,0,https://nn.hh.ru/vacancy/76913752?from=vacancy_search_list&query=Data,hh
98,Business Data Engineer,0,0,0,https://nn.hh.ru/vacancy/72563146?from=vacancy_search_list&query=Data,hh
99,Data Engineer,0,0,0,https://nn.hh.ru/vacancy/67854817?from=vacancy_search_list&query=Data,hh
100,Business Data Engineer,0,0,0,https://nn.hh.ru/vacancy/76363320?from=vacancy_search_list&query=Data,hh
101,Client Analyst,0,0,0,https://nn.hh.ru/vacancy/76785474?from=vacancy_search_list&query=Data,hh
102,Chief Data Scientist / DS Team Lead,0,0,0,https://nn.hh.ru/vacancy/75959822?from=vacancy_search_list&query=Data,hh
103,Business Data Engineer,0,0,0,https://nn.hh.ru/vacancy/76888781?from=vacancy_search_list&query=Data,hh
104,Data Analyst,0,0,0,https://nn.hh.ru/vacancy/76966602?from=vacancy_search_list&query=Data,hh
105,Руководитель направления валидации моделей (Data Scientist),0,0,0,https://nn.hh.ru/vacancy/77063344?from=vacancy_search_list&query=Data,hh
106,Аналитик данных / Data Analyst / Data Scientist,80000,0,руб.,https://nn.hh.ru/vacancy/76962324?from=vacancy_search_list&query=Data,hh
107,Data Support Lead (Ташкент),0,0,0,https://nn.hh.ru/vacancy/75908997?from=vacancy_search_list&query=Data,hh
108,Бизнес/системный аналитик (Big Data),0,0,0,https://nn.hh.ru/vacancy/73723760?from=vacancy_search_list&query=Data,hh
109,Дата аналитик/Дата инженер,0,0,0,https://nn.hh.ru/vacancy/76988238?from=vacancy_search_list&query=Data,hh
110,Архитектор данных (Data Governance),0,0,0,https://nn.hh.ru/vacancy/77140177?from=vacancy_search_list&query=Data,hh
111,Data Engineer (PySpark),0,0,0,https://nn.hh.ru/vacancy/77095316?from=vacancy_search_list&query=Data,hh
112,Associate Professor - Data Science&AI (eng),0,0,0,https://nn.hh.ru/vacancy/73328782?from=vacancy_search_list&query=Data,hh
113,Data-инженер,0,0,0,https://nn.hh.ru/vacancy/76966835?from=vacancy_search_list&query=Data,hh
114,Data Engineer,0,0,0,https://nn.hh.ru/vacancy/77019069?from=vacancy_search_list&query=Data,hh
115,Data Scientist,0,0,0,https://nn.hh.ru/vacancy/67136583?from=vacancy_search_list&query=Data,hh
116,Data scientist (Антиспам),0,0,0,https://nn.hh.ru/vacancy/73595622?from=vacancy_search_list&query=Data,hh
117,Data-инженер,0,0,0,https://nn.hh.ru/vacancy/75833712?from=vacancy_search_list&query=Data,hh
118,Инженер - исследователь (Data Science),0,0,0,https://nn.hh.ru/vacancy/77129293?from=vacancy_search_list&query=Data,hh
